CODE,DECIMALS,ABBREV,FULL_NAME,UNITS,NARR
0,1,SOUNDING,SOUNDING,METRES,THE WATER DEPTH AT EACH STATION WAS MEASURED WITH THE SHIP ECHO SOUNDER. CORRECTIONS FOR THE DEPTH TRANSDUCER WERE APPLIED.
1,1,DEPTH,SAMPLING DEPTH,METRES,THE LENGTH OF WIRE LOWERING SAMPLING DEVICES WAS MEASURED WITH A METER WHEEL USING THE WATER SURFACE AS A REFERENCE LEVEL. WIRE-ANGLE CORRECTIONS WERE APPLIED WHENEVER CORRECTIONS WERE GREATER THAN ONE METRE.
2,1,E-DEP,EPILIMNION DEPTH,METRES,
3,1,T-DEP,THERMOCLINE DEPTH,METRES,
4,1,H-DEP,HYPOLIMNION DEPTH,METRES,
5,0,VOLUME,SAMPLE VOLUME COLLECTED,LITRES,VOLUME OF SAMPLE COLLECTED AND SUBSEQUENTLY EXTRACTED FOR TRACE ORGANIC CONTAMINANT ANALYSIS.
6,0,TPL,TEMPERATURE PROFILE LOCATION,,"LOCATION OF SAMPLING DEPTH WITHIN TEMPERATURE PROFILE WHERE 1 IS IN EPILIMNION, 2 IS IN METALIMNION AND 3 IS IN HYPOLIMNION."
20,0,ALGAE,FLOATING ALGAE,SCALE0-4,
21,0,DEBRIS,FLOATING DEBRIS,SCALE0-4,
22,0,D FISH,FLOATING DEAD FISH,SCALE0-4,
23,0,OIL,FLOATING OIL,SCALE0-4,
24,0,ICE,FLOATING ICE,SCALE0-4,
25,0,SHEAR,SHEAR LINES WITHIN 0.5 N.M. OF STN,0 NONE 1,
30,1,SECCHI,SECCHI DISC DEPTH,METRE,SECCHI DEPTH IS THE DISAPPERANCE DEPTH OF A WHITE DISC 30 CENTIMETRES IN DIAMETER WHEN IT IS LOWERED SLOWLY INTO THE WATER.
31,0,FOREL-UL,SECCHI DISC COLOUR,SCALE,SECCHI DISC IS LOWERED INTO THE WATER UNTIL IT JUST DISAPPEARS AND THEN BROUGHT UP UNTIL IT JUST BECOMES VISIBLE AGAIN. THE COLOUR OF THE WATER AGAINST THE WHITE BACKGROUND OF THE DISC IS COMPARED TO THE FOREL-ULE SCALE WHICH IS A SERIES OF 22 VIALS WITH GRADUATIONS OF COLOUR FROM DARK GREEN NO. 1 TO BROWN NO. 22.
32,0,HAZEN,COLOUR  HAZEN SCALE,SCALE,HAZEN SCALE BRITISH DRUG HOUSE LOLIBOND NESSLERIZER WITH HAZEN COLOUR DISCS USED IN 1967.
33,0,LAB.,LABORATORY SAMPLE # OR BOTTLE #,,
34,0,COLOUR,COLOUR GREAT LAKES INSTITUTE,CODE 0-9,ALL COLOUR MEASUREMENTS HAVE BEEN CARRIED OUT BY VISUAL OBSERVATIONS AGAINST THE SUBMERGED SECCHI DISC. IN THE YEARS 1960-64 A 2-DIGIT COLOUR CODE NUMBER WAS ENTERED INDICATING SUCH TWO-COLOUR DESCRIPTIONS AS GREEN BROWN ETC. IN 1964 THE FOREL-ULE COLOUR COMPARISON DEVICE
35,1,COLOR-AP,APPARENT COLOUR-METRIC,PT-CO UNIT,"THE AUTOMATED DETERMINATION OF APPARENT COLOUR UTILIZES A PLATINUM- COBALT STANDARD. SINCE THE COLOUR OF WATER IS EXTREMELY PH DEPENDENT, AN UNFILTERED SAMPLE ALIQUOT IS MIXED WITH PHOSPHATE BUFFER SOLUTION WITH A PH OF 6.8 TO PROVIDE A CONSTANT PH FOR ITS DETERMINATION. THE ABSORBANCE OF THIS SAMPLE ALIQUOT IS PROPORTIONAL TO THE CONCENTRATION OF COLOUR AND IS MEASURED AT A WAVELENGTH OF 410 NM. THE COLOUR IS DETERMINED BY COMPARISON OF THE ABSORBANCE OUTPUT WITH THE FITTED CALIBRATION CURVE DRAWN FROM THE ABSORBANCE OUTPUTS OF SIMILARLY TREATED CALIBRATION STANDARD SOLUTIONS. A SLIGHT TURBIDITY CAN CAUSE THE APPARENT COLOUR TO BE NOTICEABLY HIGHER THAN THE TRUE COLOUR."
