VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE
"100300","475","CARBON DISSOLVED INORGANIC","CARBONE INORGANIQUE DISSOUS","CARBON","CARBONE","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2658","INORGANIC CARBON DETERMINED BY INFRARED ANALYSIS.","CARBONE INORGANIQUE DÉTERMINÉ PAR ANALYSE INFRAROUGE"
"100305","2653","NITRITE AND NITRATE UNFILTERED","NITRITES ET NITRATES NON FILTRÉS","NITROGEN","AZOTE","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2669","UNFILTERED NITRATE AND NITRITE DETERMINED BY COLOURIMETRY ON TRAACS 800 AUTOANALYSER","NITRITES ET NITRATES NON-FILTRÉS DÉTERMINÉS PAR COLORIMÉTRIE SUR AUTO-ANALYSEUR TRAACS 800"
"100307","2655","AMMONIA UNFILTERED","AZOTE AMMONIACAL NON FILTRÉ","NITROGEN","AZOTE","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2670","UNFILTERED AMMONIA DETERMINED BY COLOURIMETRY ON TRAACS 800 AUTOANALYSER","AZOTE AMMONIACAL NON-FILTRÉ DÉTERMINÉ PAR COLORIMÉTRIE SUR AUTO-ANALYSEUR TRAACS 800"
"101946","2768","POTASSIUM UNFILTERED","POTASSIUM NON FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2855","ANALYSIS OF POTASSIUM AND SODIUM IN UNFILTERED SAMPLES BY AAS","ANALYSE DU POTASSIUM ET DU SODIUM DANS DES ÉCHANTILLONS NON-FILTRÉS PAR AAS"
"101947","2769","SODIUM UNFILTERED","SODIUM NON FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2855","ANALYSIS OF POTASSIUM AND SODIUM IN UNFILTERED SAMPLES BY AAS","ANALYSE DU POTASSIUM ET DU SODIUM DANS DES ÉCHANTILLONS NON-FILTRÉS PAR AAS"
"102206","1022","DIBROM OR NALED","DIBROME OU NALED","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102207","172","PHORATE","PHORATE","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102208","234","DIMETHOATE OR PHOSPHAMIDE","DIMÉTHOATE OU PHOSPHAMIDE","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102209","1023","TERBUFOS","TERBUFOS","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
"102210","326","FONOFOS","FONOFOS","INSECTICIDES","INSECTICIDES","NG/L","NANOGRAM PER LITER","NANOGRAMME PAR LITRE","2867","ANALYSIS OF ORGANOPHOSPHOROUS PESTICIDES IN WATER BY GC-ECD & GC-NPD.","ANALYSE DE PESTICIDES ORGANOPHOSPHORÉS DANS L'EAU PAR GC-ECD ET GC-NPD."
